Tiêu đề,Giá,Diện tích,Vị trí,Ngày đăng,Danh sách đường dẫn
Chính chủ bán gap lô góc thương mại - giá bằng 1/2 thị trường ,"
46.8 Tỷ","
208 m²","
Hoàng Mai - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/29/20230629174408-a5b4_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629174408-a5b4_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629174408-52e6_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629174408-978e_wm.png']"
"Bán đất Kim Bôi, Cạnh khu đô thị nghỉ dưỡng sinh thái của tập đoàn Sun Group","
Thỏa thuận","
28000 m²","
Kim Bôi - Hòa Bình",26/06/2023,['https://img.dothi.net/crop/170x115/2022/03/10/20220310092214-7843_wm.jpg']
"Bán gấp nhà mặt phố đường Láng, Đống Đa, cạnh bệnh viện Nhi, ĐH Ngoại Thương. DT 80m2 - 2 mặt tiền","
Thỏa thuận","
80 m²","
Đống Đa - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/04/20/20230420151957-7408_wm.jpg']
"Chủ bán gấp nhà 2 mặt thoáng Giảng Võ, Kim Mã, Ba Đình gần ngã 3 Núi Trúc. 10m ra phố. 103,8tr/m2","
103.8 Triệu/m²","
78 m²","
Ba Đình - Hà Nội",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/31/20230531105222-53b8_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/31/20230531105222-53b8_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/11/10/20221110114647-2f8b_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/11/10/20221110114700-2548_wm.jpg']"
"Bán gấp nhà mặt phố Chùa Láng, Đống Đa, cạnh bệnh viện Nhi KD sầm uất. DT 80m2 nở hậu - 2 mặt tiền","
Thỏa thuận","
80 m²","
Đống Đa - Hà Nội",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/04/19/20230419160331-9f54_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/04/19/20230419160331-9f54_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/04/20/20230420152259-c7d1_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/04/20/20230420152310-1e74_wm.jpg']"
"Bán đất mặt hồ giá cực rẻ 1,2tr/m2 diện tích 29300m2. Mặt tiền hồ 300m. Hồ Suối Hai, Ba Vì, Hà Nội","
1.2 Triệu/m²","
29300 m²","
Ba Vì - Hà Nội",28/06/2023,"['https://img.dothi.net/crop/170x115/2022/07/01/20220701113746-6e7f_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/07/01/20220701113746-6e7f_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/07/01/20220701113441-8914_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/07/01/20220701113836-8fba_wm.jpg']"
"CẦN BÁN LÔ ĐẤT ĐẤT GIÁ NGỘP,LÔ GÓC HAI MẶT TIỀN ĐƯỜNG,ĐẦU TƯ,KINH DOANH","
1.2 Tỷ","
123 m²","
Phú Quốc - Kiên Giang",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628155935-ce78_wm.jpg']
BÁN CĂN BIỆT THỰ ĐẸP NHẤT VINHOMES THĂNG LONG (FULL NỘI THẤT XỊN XÒ - TINH TẾ) - GIÁ CỰC HỢP LÝ,"
Thỏa thuận","
Không xác định","
Hoài Đức - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/04/20230604114700-5bde_wm.jpg']
"Chính chủ nhờ bán đất dự án Cẩm Đình, Phúc Thọ, Hà Nội","
7 Triệu/m²","
1112 m²","
Phúc Thọ - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2020/10/23/20201023182003-92d3_wm.png']
"Nhà MT HXH vip Nguyễn Văn Công, P3, Gò Vấp. Giá 6.6 tỷ, 50m2, 2 tầng. LH: 0933.833.291 Hảo Hảo","
6.6 Tỷ","
50 m²","
Gò Vấp - Hồ Chí Minh",27/06/2023,['https://img.dothi.net/crop/170x115/2023/05/23/20230523155814-0851_wm.jpg']
