Tiêu đề,Giá,Diện tích,Vị trí,Ngày đăng,Danh sách đường dẫn
"Cho thuê gấp sàn văn phòng, mặt bằng KD phố Lò Đúc đối diện tổng Cục Thuế. Lô góc DT 175m2 x 7 tầng","
20 Triệu/tháng","
173 m²","
Hai Bà Trưng - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/05/13/20230513161925-ee56_wm.jpg']
Cho thuê căn hộ tách ngủ tại KĐT Waterfront Cầu Rào 2,"
8 Triệu/tháng","
37 m²","
Lê Chân - Hải Phòng",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/03/20230503092009-3f3e_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/03/20230503092009-3f3e_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/03/20230503092010-1c03_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/03/20230503092010-6c52_wm.jpg']"
"Cho thuê nhà, cho thuê văn phòng Vĩnh Yên Vĩnh Phúc","
120 Triệu/tháng","
600 m²","
Vĩnh Yên - Vĩnh Phúc",31/03/2023,['https://img.dothi.net/crop/170x115/2023/02/25/20230225042257-ef50_wm.jpg']
"Nhà mặt ngõ, căn hộ riêng biệt, tiện ích","
2500.00 Tỷ/tháng","
20 m²","
Hoàng Mai - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/30/20230630014657-d631_wm.jpg']
Chuyên cho thuê nhà An Phú An khánh Q2,"
60 Triệu/tháng","
200 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['/Images/no-photo170.png']
"Cho thuê Chung cư Vinhomes D'Capitale Trần Duy Hưng, quỹ căn từ studio - 1/2/3pn, giá rẻ, T6/2023","
12 Triệu/tháng","
73 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629092356-4138_wm.jpg']
"Cho thuê Biệt Thự 240m Park City full đồ, vị trí đẹp, nội thất xịn sò","
40 Triệu/tháng","
240 m²","
Hà Đông - Hà Nội",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/21/20230621182332-ed9d_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621182332-ed9d_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621182332-318b_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621182332-41c2_wm.jpg']"
"Cho thuê căn hộ Times City giá rẻ nhất thị trường chỉ từ 7 tr/th, xem nhà 24/7 ở ngay","
7 Triệu/tháng","
53 m²","
Hai Bà Trưng - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2019/12/12/20191212172906-1d8c_wm.jpg']
Midtown - Cho thuê căn hộ chung cư 2 phòng ngủ - 22 triệu - Diện tích 90 m2 - 0848539333,"
22 Triệu/tháng","
90 m²","
Quận 7 - Hồ Chí Minh",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/21/20230621140114-f0d6_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621140114-f0d6_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621140101-b6f8_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621140105-73b6_wm.jpg']"
"Cho thuê tòa nhà văn phòng GÓC 2MT Bình Thạnh mới xây với phong cách đương đại, sang trọng, DT-600m","
300 Triệu/tháng","
600 m²","
Bình Thạnh - Hồ Chí Minh",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628093641-4556_wm.jpg']
Cho thuê mặt bằng kinh doanh kết hợp văn phòng và kho bãi,"
14 Triệu/tháng","
200 m²","
Lào Cai - Lào Cai",28/06/2023,"['https://img.dothi.net/crop/170x115/2022/07/08/20220708111228-302c_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/07/08/20220708111228-302c_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/07/08/20220708111228-330f_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/07/08/20220708111228-4d53_wm.jpg']"
Cho thuê kho tại thành phố Tuyên Quang,"
25 Triệu/tháng","
1000 m²","
Tuyên Quang - Tuyên Quang",28/06/2023,['https://img.dothi.net/crop/170x115/2022/07/08/20220708113438-ff8f_wm.jpg']
"Chính chủ, cho thuê văn phòng tại tòa nhà văn phòng Bigwin Tower số 110 Khuất Duy Tiến, Hà Nội","
15 Triệu/tháng","
100 m²","
Thanh Xuân - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2022/02/08/20220208074727-4a99_wm.jpg']
"Chính chủ cho thuê mặt bằng kinh doanh và văn phòng, Him Lam Vạn Phúc, Hà Đông, Hà Nội","
25 Triệu/tháng","
150 m²","
Hà Đông - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/05/10/20230510131913-3cd6_wm.jpg']
Tìm đối tác Ngân Hàng thuê nhà mặt phố Chiến Thắng - Hà Đông - Diện tích 125m2 - Mặt tiền 9m,"
85 Triệu/tháng","
125 m²","
Hà Đông - Hà Nội",27/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/27/20230627081211-ad0f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/27/20230627081211-ad0f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/27/20230627081211-12af_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/27/20230627081212-6d1d_wm.jpg']"
Chính chủ cho thuê sàn văn phòng tại số 19/31 ngõ 93 Hoàng Văn Thái 35-50m2 giá chỉ từ 6 triệu,"
6 Triệu/tháng","
50 m²","
Thanh Xuân - Hà Nội",24/06/2023,['https://img.dothi.net/crop/170x115/2023/06/17/20230617085850-1627_wm.jpg']
"Chính chủ cho thuê mặt bằng kinh doanh coffee, số 94 phố Nguyễn Hy Quang, Đống Đa, KM đến 36 triệu","
15 Triệu/tháng","
70 m²","
Đống Đa - Hà Nội",24/06/2023,['https://img.dothi.net/crop/170x115/2021/02/20/20210220181246-6aa3_wm.jpg']
"Cho Thuê Căn 3Pn D'cap Trần Duy Hưng, Full đồ Decor siêu đẹp, giá 23tr phù hợp khách nước ngoài","
23 Triệu/tháng","
100 m²","
Cầu Giấy - Hà Nội",23/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623153441-b8aa_wm.jpg']
"Cho thuê căn hộ chung cư tại Dự án Midtown Phú Mỹ Hưng, Quận 7, Hồ Chí Minh diện tích 89m2 giá 22 T","
22 Triệu/tháng","
89 m²","
Quận 7 - Hồ Chí Minh",23/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/23/20230623152520-8c45_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/23/20230623152520-8c45_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/23/20230623152533-6d71_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/23/20230623152538-3472_wm.jpg']"
"Siêu rẻ - cho thuê căn hộ dịch vụ theo giờ, ngày, tuần, tháng năm - từ 01 - 4pn phòng ngủ miễn DV","
Thỏa thuận","
100 m²","
Hai Bà Trưng - Hà Nội",23/06/2023,['https://img.dothi.net/crop/170x115/2023/04/12/20230412111421-6e6a_wm.jpg']
"QUỸ 200 CĂN HỘ BQL VINHOMES TIMES CITY- PARK HILL CHO THUÊ,BÁN GIÁ RẺ NHẤT THỊ TRƯỜNG.","
10 Triệu/tháng","
80 m²","
Hai Bà Trưng - Hà Nội",23/06/2023,['https://img.dothi.net/crop/170x115/2022/05/31/20220531161059-f7ba_wm.jpg']
"Cho thuê văn phòng sàn thương mại 35m2 - 50m2 tại  299 Trung Kính, Cầu Giấy giá cực tốt","
5.5 Triệu/tháng","
35 m²","
Cầu Giấy - Hà Nội",23/06/2023,['https://img.dothi.net/crop/170x115/2023/05/22/20230522110910-ae69_wm.jpg']
Urban Hill - Phú Mỹ Hưng - Cho thuê 3 phòng ngủ diện tích 108m2 - Giá cực tốt 30 triệu - 0848539333,"
30 Triệu/tháng","
108 m²","
Quận 7 - Hồ Chí Minh",22/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/22/20230622155328-7000_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/22/20230622155328-7000_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/22/20230622155329-0856_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/22/20230622155329-4e4b_wm.jpg']"
Cho thuê nhanh căn hộ chung cư 2 phòng ngủ 23 triệu - Midtown Phú Mỹ Hưng - 0848539333,"
23 Triệu/tháng","
82 m²","
Quận 7 - Hồ Chí Minh",21/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/21/20230621141312-9bee_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621141312-9bee_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621141312-0053_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/21/20230621141312-e9be_wm.jpg']"
Cần cho thuê căn hộ SG Gateway quận 9 với giá rẻ chỉ 7 triệu/th,"
7 Triệu/tháng","
90 m²","
Quận 9 - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2022/01/05/20220105203427-f9e7_wm.jpg']
"Cho thuê căn hộ Saigon Gateway, 68m2, đầy đủ nội thất, giá 9tr/tháng","
9 Triệu/tháng","
68 m²","
Quận 9 - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2022/01/05/20220105203838-6368_wm.jpg']
Cho thuê căn hộ tầng cao Vinhomes golden river nội thất được bố trí sẵn,"
55 Triệu/tháng","
123 m²","
Quận 1 - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627081850-ebd0_wm.jpg']
"Cho thuê nhà trọ Vĩnh Hưng 25m2 - gác xép - 2,8 triệu/th","
2.8 Triệu/tháng","
25 m²","
Hoàng Mai - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2022/12/12/20221212212657-eb19_wm.jpg']
Cho thuê nhà nguyên căn KDC Intresco 13E đường Nguyễn Văn Linh 5x20m 4PN/5WC full nội thất,"
13.5 Triệu/tháng","
100 m²","
Bình Chánh - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2022/12/09/20221209085850-6ee5_wm.jpg']
"Cho thuê căn Villa Riviera 3 tầng 4PN, 290m2 đất có sân vườn nhà trống","
90 Triệu/tháng","
290 m²","
Quận 2 - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/06/20230606075933-6526_wm.jpg']
"Quá rẻ Cho thuê NC MT Bàu Cát,p14,Tb.dt 4x18. 5 lầu,10p. chỉ 36 TR","
36 Triệu/tháng","
350 m²","
Tân Bình - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/30/20230630080529-210a_wm.jpg']
"Cho thuê xưởng 1000m2 gần ngã 3 Tân Vạn, Dĩ An, giá 45 tr/tháng, SX ngành ô nhiễm","
45 Triệu/tháng","
1000 m²","
Dĩ An - Bình Dương",30/06/2023,['/Images/no-photo170.png']
"Cần cho thuê nhà xưởng, kho tại KCN Nam Tân Uyên. DT từ 1000m2 - 20.000m2, giá rẻ","
Thỏa thuận","
1000 m²","
Tân Uyên - Bình Dương",30/06/2023,['/Images/no-photo170.png']
"Kho xưởng tại Thuận An, Bình Dương, cho thuê giá rẻ chỉ 40nghìn/m2/th. DT từ 1000-5hecta","
40 Nghìn/m²/tháng","
1000 m²","
Thuận An - Bình Dương",30/06/2023,['/Images/no-photo170.png']
Hải Yến 0963.77.55.56 - cho thuê căn hộ 2 PN tại Saigon Pearl giá 17 triệu bao phí rẻ nhất T6/2023,"
17 Triệu/tháng","
90 m²","
Bình Thạnh - Hồ Chí Minh",30/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/08/20230508130425-d57f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/08/20230508130425-d57f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/08/20230508130424-0472_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/08/20230508130425-69b3_wm.jpg']"
"Hải Yến 0963.775556 - cho thuê căn hộ 4 PN tại Saigon Pearl giá 69,9 triệu/th bao phí full nội thất","
69.9 Triệu/tháng","
210 m²","
Bình Thạnh - Hồ Chí Minh",30/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/12/20230512144923-6278_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/12/20230512144923-6278_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/12/20230512144922-1ec0_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/12/20230512144922-89ae_wm.jpg']"
"Cần cho thuê căn góc 2 full nôi thất, 86m2, 3PN, 2 PK, 2 WC, chung cư Hiệp Thành Building, Q. 12","
8 Triệu/tháng","
86 m²","
Quận 12 - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2023/03/25/20230325215100-1e6b_wm.jpg']
"Cho thuê căn hộ full nội thất, 2 phòng ngủ chung cư Dream Home Luxury, Gò Vấp, giá 8 triệu/tháng","
8 Triệu/tháng","
64 m²","
Gò Vấp - Hồ Chí Minh",30/06/2023,['https://img.dothi.net/crop/170x115/2019/11/13/20191113035143-333a_wm.jpg']
"Cho thuê cả nhà phố Thái Phiên, Hai Bà Trưng, Hà Nội, dt 90m2 x 4 tầng, giá 150tr/tháng","
150 Triệu/tháng","
250 m²","
Hai Bà Trưng - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/21/20230621022047-c924_wm.jpg']
Cho Thuê Căn Hộ 2PN 2VS Full Đồ 11tr tại Helios 75 Tam Trinh. LH: 0975.997.166,"
11 Triệu/tháng","
65 m²","
Hoàng Mai - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/24/20230624014858-a9ee_wm.jpg']
"Cho thuê văn phòng phố Duy Tân,cầu giấy,dt 135m2,thông sàn,giá 29tr/tháng","
29 Triệu/tháng","
135 m²","
Cầu Giấy - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/09/20230609010010-aab2_wm.jpg']
"Cho thuê mb tầng 1, 2 phố vũ tông phan,thanh xuân,hà nội dt 100m x 2 tầng,giá 45tr/tháng","
45 Triệu/tháng","
210 m²","
Thanh Xuân - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/05/25/20230525011048-020f_wm.jpg']
"Cho thuêvăn phòng phố hoàng văn thái,thanh xuân, hà nội,dtsd 125m2,giá 17tr/tháng","
17 Triệu/tháng","
125 m²","
Thanh Xuân - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/05/25/20230525010915-b04a_wm.jpg']
"Cho thuê cả toà vp phố chùa quỳnh,hai bà trưng,hà nội,dt 180m x 7 tầng , giá 170tr/tháng","
170 Triệu/tháng","
1150 m²","
Hai Bà Trưng - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/24/20230624002759-76e4_wm.jpg']
"Cho thuê văn phòng phố Xã Đàn 2,Đống Đa,hà nội,dtsd 75m2 ,thông sàn,giá 16tr/tháng","
16 Triệu/tháng","
75 m²","
Đống Đa - Hà Nội",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/03/20230603002058-2fad_wm.jpg']
"Nhà xưởng KCN và Cụm CN Hải Phòng giá 70k/m2 từ 1000m-15ha,Xd mới 100%,SX nhiều ngành nghề","
70 Triệu/tháng","
1000 m²","
Hải An - Hải Phòng",30/06/2023,['https://img.dothi.net/crop/170x115/2023/06/03/20230603000342-3309_wm.jpg']
"Cho thuê nhà mặt phố tại Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội","
Thỏa thuận","
Không xác định","
Hà Đông - Hà Nội",29/06/2023,['/Images/no-photo170.png']
"Chính chủ Cho thuê phòng trọ riêng chủ ngõ 46 kim Giang Hoàng Đạo Thành giá 900k...1,2 Tr...1.6 tr.","
Thỏa thuận","
Không xác định","
Thanh Xuân - Hà Nội",29/06/2023,['/Images/no-photo170.png']
